Date,Open,High,Low,Close,Adj Close,Volume
03-10-23,"₹ 19,622.40","₹ 19,623.20","₹ 19,479.65","₹ 19,528.75","₹ 19,528.75",221700
04-10-23,"₹ 19,446.30","₹ 19,457.80","₹ 19,333.60","₹ 19,436.10","₹ 19,436.10",277100
05-10-23,"₹ 19,521.85","₹ 19,576.95","₹ 19,487.30","₹ 19,545.75","₹ 19,545.75",234900
06-10-23,"₹ 19,621.20","₹ 19,675.75","₹ 19,589.40","₹ 19,653.50","₹ 19,653.50",159100
09-10-23,"₹ 19,539.45","₹ 19,588.95","₹ 19,480.50","₹ 19,512.35","₹ 19,512.35",165100
10-10-23,"₹ 19,565.60","₹ 19,717.80","₹ 19,565.45","₹ 19,689.85","₹ 19,689.85",216600
11-10-23,"₹ 19,767.00","₹ 19,839.20","₹ 19,756.95","₹ 19,811.35","₹ 19,811.35",213700
12-10-23,"₹ 19,822.70","₹ 19,843.30","₹ 19,772.65","₹ 19,794.00","₹ 19,794.00",217900
13-10-23,"₹ 19,654.55","₹ 19,805.40","₹ 19,635.30","₹ 19,751.05","₹ 19,751.05",255000
16-10-23,"₹ 19,737.25","₹ 19,781.30","₹ 19,691.85","₹ 19,731.75","₹ 19,731.75",181000
17-10-23,"₹ 19,843.20","₹ 19,849.75","₹ 19,775.65","₹ 19,811.50","₹ 19,811.50",185800
18-10-23,"₹ 19,820.45","₹ 19,840.95","₹ 19,659.95","₹ 19,671.10","₹ 19,671.10",198900
19-10-23,"₹ 19,545.20","₹ 19,681.80","₹ 19,512.35","₹ 19,624.70","₹ 19,624.70",230300
20-10-23,"₹ 19,542.15","₹ 19,593.80","₹ 19,518.70","₹ 19,542.65","₹ 19,542.65",198300
23-10-23,"₹ 19,521.60","₹ 19,556.85","₹ 19,257.85","₹ 19,281.75","₹ 19,281.75",176000
25-10-23,"₹ 19,286.45","₹ 19,347.30","₹ 19,074.15","₹ 19,122.15","₹ 19,122.15",225300
26-10-23,"₹ 19,027.25","₹ 19,041.70","₹ 18,837.85","₹ 18,857.25","₹ 18,857.25",300400
27-10-23,"₹ 18,928.75","₹ 19,076.15","₹ 18,926.65","₹ 19,047.25","₹ 19,047.25",205200
30-10-23,"₹ 19,053.40","₹ 19,158.50","₹ 18,940.00","₹ 19,140.90","₹ 19,140.90",180100
31-10-23,"₹ 19,232.95","₹ 19,233.70","₹ 19,056.45","₹ 19,079.60","₹ 19,079.60",206000
01-11-23,"₹ 19,064.05","₹ 19,096.05","₹ 18,973.70","₹ 18,989.15","₹ 18,989.15",194100
02-11-23,"₹ 19,120.00","₹ 19,175.25","₹ 19,064.15","₹ 19,133.25","₹ 19,133.25",245600
03-11-23,"₹ 19,241.00","₹ 19,276.25","₹ 19,210.90","₹ 19,230.60","₹ 19,230.60",189500
06-11-23,"₹ 19,345.85","₹ 19,423.00","₹ 19,309.70","₹ 19,411.75","₹ 19,411.75",180700
07-11-23,"₹ 19,404.05","₹ 19,423.50","₹ 19,329.10","₹ 19,406.70","₹ 19,406.70",198700
08-11-23,"₹ 19,449.60","₹ 19,464.40","₹ 19,401.50","₹ 19,443.50","₹ 19,443.50",195000
09-11-23,"₹ 19,457.40","₹ 19,463.90","₹ 19,378.35","₹ 19,395.30","₹ 19,395.30",208400
10-11-23,"₹ 19,351.85","₹ 19,451.30","₹ 19,329.45","₹ 19,425.35","₹ 19,425.35",152200
13-11-23,"₹ 19,486.75","₹ 19,494.40","₹ 19,414.75","₹ 19,443.55","₹ 19,443.55",189300
15-11-23,"₹ 19,651.40","₹ 19,693.20","₹ 19,579.65","₹ 19,675.45","₹ 19,675.45",291500
16-11-23,"₹ 19,674.70","₹ 19,875.25","₹ 19,627.00","₹ 19,765.20","₹ 19,765.20",282700
17-11-23,"₹ 19,674.75","₹ 19,806.00","₹ 19,667.45","₹ 19,731.80","₹ 19,731.80",236800
20-11-23,"₹ 19,731.15","₹ 19,756.45","₹ 19,670.50","₹ 19,694.00","₹ 19,694.00",173800
21-11-23,"₹ 19,770.90","₹ 19,829.10","₹ 19,754.05","₹ 19,783.40","₹ 19,783.40",195000
22-11-23,"₹ 19,784.00","₹ 19,825.55","₹ 19,703.85","₹ 19,811.85","₹ 19,811.85",184500
23-11-23,"₹ 19,828.45","₹ 19,875.15","₹ 19,786.75","₹ 19,802.00","₹ 19,802.00",170000
24-11-23,"₹ 19,809.60","₹ 19,832.85","₹ 19,768.85","₹ 19,794.70","₹ 19,794.70",145900
28-11-23,"₹ 19,844.65","₹ 19,916.85","₹ 19,800.00","₹ 19,889.70","₹ 19,889.70",229600
29-11-23,"₹ 19,976.55","₹ 20,104.65","₹ 19,956.30","₹ 20,096.60","₹ 20,096.60",236200
30-11-23,"₹ 20,108.50","₹ 20,158.70","₹ 20,015.85","₹ 20,133.15","₹ 20,133.15",486600
01-12-23,"₹ 20,194.10","₹ 20,291.55","₹ 20,183.70","₹ 20,267.90","₹ 20,267.90",265800
04-12-23,"₹ 20,601.95","₹ 20,702.65","₹ 20,507.75","₹ 20,686.80","₹ 20,686.80",381100
05-12-23,"₹ 20,808.90","₹ 20,864.05","₹ 20,711.15","₹ 20,855.10","₹ 20,855.10",421000
06-12-23,"₹ 20,950.75","₹ 20,961.95","₹ 20,852.15","₹ 20,937.70","₹ 20,937.70",359200
07-12-23,"₹ 20,932.40","₹ 20,941.25","₹ 20,850.80","₹ 20,901.15","₹ 20,901.15",275000
08-12-23,"₹ 20,934.10","₹ 21,006.10","₹ 20,862.70","₹ 20,969.40","₹ 20,969.40",292400
11-12-23,"₹ 20,965.30","₹ 21,026.10","₹ 20,923.70","₹ 20,997.10","₹ 20,997.10",212900
12-12-23,"₹ 21,018.55","₹ 21,037.90","₹ 20,867.15","₹ 20,906.40","₹ 20,906.40",244900
13-12-23,"₹ 20,929.75","₹ 20,950.00","₹ 20,769.50","₹ 20,926.35","₹ 20,926.35",260300
14-12-23,"₹ 21,110.40","₹ 21,210.90","₹ 21,074.45","₹ 21,182.70","₹ 21,182.70",334400
15-12-23,"₹ 21,287.45","₹ 21,492.30","₹ 21,235.30","₹ 21,456.65","₹ 21,456.65",508800
18-12-23,"₹ 21,434.80","₹ 21,482.80","₹ 21,365.35","₹ 21,418.65","₹ 21,418.65",249700
19-12-23,"₹ 21,477.65","₹ 21,505.05","₹ 21,337.75","₹ 21,453.10","₹ 21,453.10",249800
20-12-23,"₹ 21,543.50","₹ 21,593.00","₹ 21,087.35","₹ 21,150.15","₹ 21,150.15",363900
21-12-23,"₹ 21,033.95","₹ 21,288.35","₹ 20,976.80","₹ 21,255.05","₹ 21,255.05",277500
22-12-23,"₹ 21,295.85","₹ 21,390.50","₹ 21,232.45","₹ 21,349.40","₹ 21,349.40",284700
