Date,Open,High,Low,Close,Adj Close,Volume
01-08-23,"₹ 45,740.00","₹ 45,782.75","₹ 45,471.05","₹ 45,592.50","₹ 45,592.50",175200
02-08-23,"₹ 45,234.65","₹ 45,404.90","₹ 44,720.90","₹ 44,995.70","₹ 44,995.70",233600
03-08-23,"₹ 44,862.85","₹ 45,038.45","₹ 44,279.40","₹ 44,513.45","₹ 44,513.45",245800
04-08-23,"₹ 44,754.75","₹ 45,118.05","₹ 44,520.55","₹ 44,879.50","₹ 44,879.50",245200
07-08-23,"₹ 44,993.70","₹ 45,011.35","₹ 44,773.85","₹ 44,837.50","₹ 44,837.50",200800
08-08-23,"₹ 44,888.95","₹ 45,096.85","₹ 44,817.85","₹ 44,964.45","₹ 44,964.45",229400
09-08-23,"₹ 44,973.45","₹ 44,975.00","₹ 44,533.75","₹ 44,880.70","₹ 44,880.70",177300
10-08-23,"₹ 44,797.65","₹ 44,980.35","₹ 44,418.40","₹ 44,541.80","₹ 44,541.80",232000
11-08-23,"₹ 44,568.15","₹ 44,571.25","₹ 44,120.90","₹ 44,199.10","₹ 44,199.10",196900
14-08-23,"₹ 44,066.60","₹ 44,212.75","₹ 43,776.90","₹ 44,090.95","₹ 44,090.95",172300
16-08-23,"₹ 43,726.25","₹ 44,002.80","₹ 43,600.35","₹ 43,946.40","₹ 43,946.40",0
17-08-23,"₹ 43,897.25","₹ 44,071.85","₹ 43,745.10","₹ 43,891.35","₹ 43,891.35",266400
18-08-23,"₹ 43,724.75","₹ 43,957.65","₹ 43,672.45","₹ 43,851.05","₹ 43,851.05",167600
21-08-23,"₹ 43,952.85","₹ 44,113.80","₹ 43,862.00","₹ 44,002.00","₹ 44,002.00",126300
22-08-23,"₹ 44,125.00","₹ 44,151.30","₹ 43,938.70","₹ 43,993.25","₹ 43,993.25",160700
23-08-23,"₹ 44,064.50","₹ 44,521.65","₹ 43,952.05","₹ 44,479.05","₹ 44,479.05",212400
24-08-23,"₹ 44,704.20","₹ 44,949.90","₹ 44,433.75","₹ 44,496.20","₹ 44,496.20",220400
25-08-23,"₹ 44,276.20","₹ 44,359.10","₹ 43,983.75","₹ 44,231.45","₹ 44,231.45",152500
28-08-23,"₹ 44,253.65","₹ 44,610.40","₹ 44,201.45","₹ 44,494.65","₹ 44,494.65",163000
29-08-23,"₹ 44,655.75","₹ 44,673.00","₹ 44,429.80","₹ 44,495.25","₹ 44,495.25",140300
